code,description
2430,"MILLWORK, VENEER, PLYWOOD, AND PREFABRICATED STRUCTURAL WOOD PRODUCTS"
2431,MILLWORK
2432,VENEER AND PLYWOOD
2433,PREFABRICATED WOODEN BUILDINGS
2440,WOODEN CONTAINERS
2490,OTHER LUMBER AND WOOD PRODUCTS
2491,WOOD PRESERVING
2500,FURNITURE AND FIXTURES
2510,HOUSEHOLD FURNITURE
2520,OFFICE FURNITURE
2530,PUBLIC BUILDING FURNITURE
2540,"PARTITIONS, SHELVING, LOCKERS AND OFFICE AND STORE FIXTURES"
2550,BARBER AND BEAUTY SHOP FURNITURE AND FIXTURES
2590,OTHER FURNITURE AND FIXTURES
2591,VENETIAN BLINDS AND SHADES
2600,PAPER AND ALLIED PRODUCTS
2610,PULP MANUFACTURING
2620,PAPER
2630,PAPERBOARD
2640,CONVERTED PAPER AND PAPERBOARD PRODUCTS
2642,ENVELOPES
2643,BAGS
2644,WALLPAPER
2645,"DYECUT PAPER, PAPERBOARD AND CARDBOARD"
2646,PRESSED AND MOLDED PULP GOODS
2647,SANITARY PAPER PRODUCTS
2650,PAPERBOARD CONTAINERS AND BOXES
2660,BUILDING PAPER
2700,"PRINTING, PUBLISHING, AND ALLIED INDUSTRIES"
2710,NEWSPAPERS-PUBLISHING AND PRINTING
2720,PERIODICALS-PUBLISHING AND PRINTING
2730,BOOKS-PUBLISHING AND PRINTING
2740,COMMERCIAL PRINTING
2750,BUSINESS FORMS
2760,GREETING CARDS
2770,BOOKBINDING AND RELATED INDUSTRIES
2771,LOOSELEAF BINDERS AND BLANKBOOKS
2780,PRINTING TRADE SERVICE
2781,TYPESETTING
2782,PHOTOENGRAVING
2784,LITHOGRAPHY
2790,OTHER PRINTING AND PUBLISHING
2800,CHEMICALS AND ALLIED PRODUCTS
2810,INDUSTRIAL CHEMICALS
2820,PLASTICS AND SYNTHETICS
2830,DRUG MANUFACTURING
2831,BIOLOGICAL PRODUCTS
2832,MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS
2833,PHARMACEUTICAL PRODUCTS
2840,"SOAP, DETERGENTS, CLEANING PREPARATIONS, PERFUMES, AND COSMETICS"
2841,SOAP AND DETERGENTS
2842,"SPECIALTY CLEANING, POLISH AND SANITATION PREPARATIONS"
2844,PERFUMES AND COSMETICS
2850,"PAINTS, VARNISHES, LACQUERS, ENAMELS, AND ALLIED PRODUCTS"
2860,GUM AND WOOD CHEMICALS
2870,AGRICULTURAL CHEMICALS
2890,OTHER CHEMICALS AND ALLIED PRODUCTS
2891,GLUE AND GELATIN
2892,EXPLOSIVES
2893,PRINTING INK
2900,PETROLEUM REFINING AND RELATED INDUSTRIES
2910,PETROLEUM REFINING
2920,PAVING AND ROOFING MATERIALS
2990,OTHER PETROLEUM REFINING AND PRODUCTS
2991,LUBRICATING OILS AND GREASES
3000,INDUSTRIAL
3100,RUBBER AND MISCELLANEOUS PLASTIC PRODUCTS
3110,TIRE AND INNERTUBES
3120,RUBBER FOOTWEAR
3130,RECLAIMING RUBBER
3190,RUBBER PRODUCTS
3200,"STONE, CLAY, AND GLASS PRODUCTS"
3210,FLAT GLASS
3220,PRESSED OR BLOWN GLASS AND GLASSWARE
3221,GLASS CONTAINERS
3230,CEMENT
3240,STRUCTURAL CLAY PRODUCTS
3241,BRICK AND CLAY TILE
3242,CERAMIC WALL AND FLOOR TILE
3243,OTHER CLAY PRODUCTS
3250,PUTTERY AND RELATED PRODUCTS
3251,PLUMBING FIXTURES AND BATHROOM FIXTURES
3252,CHINA TABLE AND KITCHEN ARTICLES
3254,PORCELAIN ELECTRICAL SUPPLIES
3260,"CONCRETE, GYPSUM, AND PLASTER PRODUCTS"
3261,CONCRETE BRICKS AND BLOCKS
3263,CONCRETE-READY MIX
3264,LIME PRODUCTS
3265,GYPSUM PRODUCTS
3270,CUT STONE AND STONE PRODUCTS
3300,PRIMARY METAL INDUSTRIES
3310,STEEL PROCESSING AND PRODUCTS
3311,BLAST FURNACES AND STEEL WORKS
3313,"STEEL WIRE, NAILS AND SPIKES"
3314,"STEEL SHEET, STRIP AND BARS"
3315,STEEL PIPES AND TUBES
3320,IRON AND STEEL FOUNDRIES
3330,REFINING AND SMELTING OF NON-FERROUS METALS
3331,COPPER REFINING AND SMELTING
3332,LEAD REFINING AND SMELTING
3333,ZINC REFINING AND SMELTING
3334,ALUMINUM PRODUCTION
3350,"ROLLING, DRAWING, AND EXTRUDING OF NON-FERROUS METALS"
3354,DRAWING AND INSULATING OF NON-FERROUS WIRE
3360,NON-FERROUS FOUNDRIES
3390,OTHER METAL INDUSTRIES
3400,FABRICATED METAL PRODUCTS
3410,"WEAPONS, AMMUNITION AND ACCESSORIES"
3411,"GUNS, HOWITZERS, MORTARS, AND RELATED EQUIPMENT"
3412,AMMUNITION AND ASSEMBLY OF GUIDED MISSILES AND SPACE VEHICLES
3413,TANKS AND TANK COMPONENTS
3414,SIGHTING AND FIRING CONTROL EQUIPMENT
3415,SMALL ARMS
3416,SMALL ARMS AMMUNITION
3420,MACHINERY
3421,ENGINES AND TURBINES
3422,FARM MACHINERY AND EQUIPMENT
3423,"CONSTRUCTION MINING AND MATERIALS, HANDLING MACHINERY AND EQUIPMENT"
3424,METAL WORKING MACHINERY AND EQUIPMENT
3425,MECHANICAL
3426,GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT
3427,OFFICE COMPUTING AND ACCOUNTING MACHINES
3428,SERVICE INDUSTRY MACHINES
3430,"ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES"
3431,ELECTRICAL TRANSMISSION AND DISTRIBUTION EQUIPMENT
3432,ELECTRICAL INDUSTRIAL EQUIPMENT
3433,HOUSEHOLD APPLIANCES
3434,ELECTRICAL LIGHTING AND WIRING EQUIPMENT
3435,RADIOS AND TELEVISIONS
3436,COMMUNICATION EQUIPMENT
3437,ELECTRONIC COMPONENTS AND ACCESSORIES
3440,TRANSPORTATION EQUIPMENT
3441,MOTOR VEHICLES AND EQUIPMENT
3442,AIRCRAFT AND PARTS
3443,SHIP AND BOAT BUILDING
3444,RAILROAD EQUIPMENT - MANUFACTURING
3445,MOTORCYCLE MANUFACTURING
3446,BICYCLE AND BICYCLE PARTS MANUFACTURING
3450,BICYCLE
3490,OTHER FABRICATED METAL PRODUCTS
3491,METAL CANS
3492,"CUTTLERY, HAND TOOLS AND GENERAL HARDWARE"
3493,HEATING APPARATUS AND PLUMBING FIXTURES
3494,FABRICATED STRUCTURAL METAL PRODUCTS
3495,"BOLTS, NUTS, SCREWS, RIVETS, AND WASHERS"
3496,METAL STAMPING
3497,"METAL FINISHING, COATING AND ENGRAVING"
3498,FABRICATED WIRE PRODUCTS
3500,"PROFESSIONAL, SCIENTIFIC INSTRUMENTS, PHOTOGRAPHIC, OPTICAL, WATCHES"
3510,"ENGINEERING, LABORATORY, AND SCIENTIFIC INSTRUMENTS AND EQUIPMENT"
3520,MECHANICAL MEASURING AND CONTROLLING EQUIPMENT
3530,OPTICAL INSTRUMENTS AND LENSES
3540,"SURGICAL, MEDICAL AND DENTAL INSTRUMENTS AND SUPPLIES"
3541,SURGICAL AND MEDICAL INSTRUMENTS AND EQUIPMENT
3542,"ORTHOPEDIC, PROSTHETIC, AND SURGICAL APPLIANCES AND SUPPLIES"
